Yöntem,Ortalama Bekleme Süresi (s),Toplam CO₂ (mg),Ortalama Hız (m/s),Toplam Throughput (araç),Ortalama Yoğunluk (araç/m)
Static,37.41,175100431,1.58,238,0.020496
Webster,61.22,244932676,0.74,119,0.029547
Actuated,19.9,163306192,1.85,274,0.019029
Max-Pressure,87.71,226962921,0.61,108,0.027384
SOTL-Improved,6.12,65695636,6.19,372,0.006525
SOTL-Platoon,1.7,65093389,6.55,392,0.006369
SOTL-MultiAgent,1.54,65114633,6.51,392,0.006405
Fuzzy-Logic,1.01,66578469,6.45,392,0.00649
Gap-Out,25.33,155741621,1.93,266,0.017991
