Yöntem,Ortalama Bekleme Süresi (s),Toplam CO₂ (mg),Ortalama Hız (m/s),Toplam Throughput (araç),Ortalama Yoğunluk (araç/m)
Static,8.32,298806303,3.26,709,0.0209
Webster,10.73,330033973,2.92,693,0.023441
Actuated,9.1,330824946,2.88,696,0.023453
Max-Pressure,122.71,773118812,0.14,10,0.060736
SOTL-Improved,0.91,166539253,6.85,800,0.010051
SOTL-Platoon,1.11,172704915,6.56,800,0.010504
SOTL-MultiAgent,0.98,172823957,6.52,800,0.010573
Fuzzy-Logic,0.26,169430630,6.77,799,0.010183
Gap-Out,7.94,297901885,3.29,725,0.020669
