step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J21_stopped,J21_accumulated_waiting_time,J21_average_speed,J31_stopped,J31_accumulated_waiting_time,J31_average_speed,J32_stopped,J32_accumulated_waiting_time,J32_average_speed,J44_stopped,J44_accumulated_waiting_time,J44_average_speed,J46_stopped,J46_accumulated_waiting_time,J46_average_speed,J47_stopped,J47_accumulated_waiting_time,J47_average_speed,J50_stopped,J50_accumulated_waiting_time,J50_average_speed,J51_stopped,J51_accumulated_waiting_time,J51_average_speed,J52_stopped,J52_accumulated_waiting_time,J52_average_speed,J53_stopped,J53_accumulated_waiting_time,J53_average_speed,J54_stopped,J54_accumulated_waiting_time,J54_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,7.760625583673827,0,0.0,1.0,0,0.0,0.5268579184664052,0,0.0,1.0,0,0.0,0.5350125400263093,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,2,0.0,0.0,8.243923179817651,0,0.0,1.0,1,0.0,0.0,0,0.0,0.9080103497531751,1,0.0,0.49977587605859125,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
15.0,0,0.0,0.0,10.25920498885493,0,0.0,1.0,0,0.0,0.5995384258886703,0,0.0,1.0,0,0.0,0.6690445752472401,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.028908052241208,0,0.0,1.0,0,0.0,0.10871076323984698,0,0.0,1.0,0,0.0,0.5266466490309776,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,0,0.0,0.0,11.734030467286564,0,0.0,0.9967824742819882,0,0.0,0.7012786197596171,0,0.0,1.0,0,0.0,0.7649813020060738,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,10.293716718931428,0,0.0,0.9238455616089735,0,0.0,0.28849297670064994,0,0.0,1.0,0,0.0,0.6332373839642829,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,11.795814712985862,0,0.0,0.9346909030118129,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9192945367016286,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
40.0,1,3.0,0.21428571428571427,10.747923479799157,0,0.0,1.0,0,0.0,0.41059586185316926,0,0.0,1.0,0,0.0,0.3808772485164826,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9246911283906314,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
45.0,1,0.0,0.0,10.09934317554761,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9964050469021152,0,0.0,0.9784192122418607,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
