step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J21_stopped,J21_accumulated_waiting_time,J21_average_speed,J31_stopped,J31_accumulated_waiting_time,J31_average_speed,J32_stopped,J32_accumulated_waiting_time,J32_average_speed,J44_stopped,J44_accumulated_waiting_time,J44_average_speed,J46_stopped,J46_accumulated_waiting_time,J46_average_speed,J47_stopped,J47_accumulated_waiting_time,J47_average_speed,J50_stopped,J50_accumulated_waiting_time,J50_average_speed,J51_stopped,J51_accumulated_waiting_time,J51_average_speed,J52_stopped,J52_accumulated_waiting_time,J52_average_speed,J53_stopped,J53_accumulated_waiting_time,J53_average_speed,J54_stopped,J54_accumulated_waiting_time,J54_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.867566744643264,0,0.0,1.0,0,0.0,0.37039585454428625,0,0.0,1.0,0,0.0,0.39544697117132466,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,2,0.0,0.0,8.056655624228522,0,0.0,1.0,1,0.0,0.0,0,0.0,0.9628183418676953,1,0.0,0.4431710690219838,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
15.0,0,0.0,0.0,9.852344579031568,0,0.0,1.0,0,0.0,0.7432988039735654,0,0.0,1.0,0,0.0,0.6560366354285424,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,9.025882759358995,0,0.0,1.0,0,0.0,0.15749800821834226,0,0.0,0.8873507175737078,0,0.0,0.5172175592064996,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.914343499922485,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,0,0.0,0.0,11.83069613310578,0,0.0,0.9170002796932383,0,0.0,0.8679952078897822,0,0.0,1.0,0,0.0,0.7409529035870767,0,0.0,0.772321102692297,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,8.812407938431098,0,0.0,1.0,0,0.0,0.2777988721213478,0,0.0,1.0,0,0.0,0.5838618749864296,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9343163859744451,0,0.0,0.9948737122395771,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,10.117605966049537,0,0.0,0.9844854844065808,0,0.0,0.912359327551171,0,0.0,1.0,0,0.0,0.8450274353516087,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,10.491602629921257,0,0.0,0.660481454950424,0,0.0,0.4040852596511565,0,0.0,1.0,0,0.0,0.6614760856025556,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
45.0,1,0.0,0.0,10.744914594963152,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9662640529726729,0,0.0,0.9483267082980157,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
50.0,0,0.0,0.0,10.223544326458766,0,0.0,1.0,0,0.0,0.6287667134794436,0,0.0,1.0,0,0.0,0.5522760188258681,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9635170432786936,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
55.0,3,0.0,0.0,8.856361297104963,0,0.0,1.0,1,0.0,0.0,0,0.0,0.9372817027857279,1,0.0,0.48357300731462355,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9448710491083973,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
60.0,0,0.0,0.0,11.441657050592248,0,0.0,0.9686143120784063,0,0.0,0.6270978677668391,0,0.0,1.0,0,0.0,0.518072675988987,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
65.0,1,0.0,0.0,9.720789732098597,0,0.0,1.0,0,0.0,0.18330623756939085,0,0.0,1.0,0,0.0,0.5891552013056195,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9090711122339794,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
70.0,0,0.0,0.0,11.172221445852395,0,0.0,0.9139574290848055,0,0.0,0.9246888299688492,0,0.0,1.0,0,0.0,0.9213400034366047,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
75.0,1,3.0,0.1875,9.41842022898819,0,0.0,1.0,0,0.0,0.24633217264136245,0,0.0,1.0,0,0.0,0.5757986351261946,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
80.0,1,8.0,0.6153846153846154,11.278528110939838,0,0.0,0.9808707133743041,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7823937578466078,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
85.0,0,0.0,0.0,11.278667320029337,0,0.0,1.0,0,0.0,0.4395500645317854,0,0.0,1.0,0,0.0,0.666695373611588,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9441842617481225,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
90.0,0,0.0,0.0,11.012900837338446,0,0.0,1.0,0,0.0,1.0,0,0.0,0.913561694929142,0,0.0,0.9953327118281117,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
95.0,1,0.0,0.0,10.264945240981868,0,0.0,0.9596401080280503,0,0.0,0.7021262630321945,0,0.0,1.0,0,0.0,0.6771484032008473,0,0.0,1.0,0,0.0,1.0,0,0.0,0.961530174028428,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
100.0,3,0.0,0.0,9.772931404149748,0,0.0,1.0,1,0.0,0.0,0,0.0,0.8907494499006506,1,0.0,0.49272425003399867,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
105.0,1,2.0,0.15384615384615385,9.151537676762025,0,0.0,0.9418733437280422,0,0.0,0.5989649260593254,0,0.0,1.0,0,0.0,0.7183869865505896,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9202308088144655,0,0.0,0.9682474332299632,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
110.0,1,7.0,0.4375,9.205158573239764,0,0.0,0.9978514346227051,0,0.0,0.11392496274222763,0,0.0,1.0,0,0.0,0.5439937264394699,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9116628639359379,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
115.0,1,12.0,0.8571428571428571,10.856531286711867,0,0.0,1.0,0,0.0,0.9793066445056996,0,0.0,1.0,0,0.0,0.8351622066700697,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
120.0,1,17.0,1.1333333333333333,9.910840089951675,0,0.0,0.9666674580166857,0,0.0,0.3090002464448416,0,0.0,1.0,0,0.0,0.6426175514043613,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
125.0,1,22.0,1.375,9.56122858709512,0,0.0,1.0,0,0.0,0.9081641452829143,0,0.0,1.0,0,0.0,0.9240792143902093,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
130.0,1,27.0,1.6875,10.371186414488768,0,0.0,0.9785209444597286,0,0.0,0.3782652877505833,0,0.0,1.0,0,0.0,0.6320374900918244,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
135.0,1,32.0,2.1333333333333333,10.864123156509795,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9205607269455702,0,0.0,0.8947387261155544,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
140.0,1,37.0,2.466666666666667,9.74324156975579,0,0.0,0.9254790186180074,0,0.0,0.5058986358248645,0,0.0,1.0,0,0.0,0.44276099720295753,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9478219945603401,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
145.0,5,44.0,2.4444444444444446,9.483541233117359,0,0.0,0.9460155486486861,1,0.0,0.0,0,0.0,0.9809731073604396,1,0.0,0.4706362935401966,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
150.0,2,54.0,3.375,10.792621565503993,0,0.0,1.0,0,0.0,0.6869912611947648,0,0.0,1.0,0,0.0,0.8268904291434617,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9343813937381666,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
155.0,2,64.0,4.0,8.029102404322895,0,0.0,0.9829670301793776,0,0.0,0.12582265083813132,0,0.0,1.0,0,0.0,0.5139306007151803,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9295414341215884,0,0.0,0.980843588513251,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
160.0,3,74.0,4.933333333333334,10.016367399570889,0,0.0,1.0,0,0.0,0.853931506379642,0,0.0,1.0,0,0.0,0.6805419294951768,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
165.0,1,1.0,0.06666666666666667,9.151334990338501,0,0.0,1.0,0,0.0,0.3152173330316238,0,0.0,1.0,0,0.0,0.6110255650814211,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9099936188100728,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
