step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J21_stopped,J21_accumulated_waiting_time,J21_average_speed,J31_stopped,J31_accumulated_waiting_time,J31_average_speed,J32_stopped,J32_accumulated_waiting_time,J32_average_speed,J44_stopped,J44_accumulated_waiting_time,J44_average_speed,J46_stopped,J46_accumulated_waiting_time,J46_average_speed,J47_stopped,J47_accumulated_waiting_time,J47_average_speed,J50_stopped,J50_accumulated_waiting_time,J50_average_speed,J51_stopped,J51_accumulated_waiting_time,J51_average_speed,J52_stopped,J52_accumulated_waiting_time,J52_average_speed,J53_stopped,J53_accumulated_waiting_time,J53_average_speed,J54_stopped,J54_accumulated_waiting_time,J54_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,7.358534406810068,0,0.0,1.0,0,0.0,0.4871916697338471,0,0.0,1.0,0,0.0,0.5693001637759614,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,2,0.0,0.0,7.821428628419801,0,0.0,1.0,1,0.0,0.0,0,0.0,0.9635299971821392,1,0.0,0.4688681003058524,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
15.0,0,0.0,0.0,10.579467188712858,0,0.0,1.0,0,0.0,0.7166001893374364,0,0.0,1.0,0,0.0,0.8897476672233642,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,9.284504056676944,0,0.0,1.0,0,0.0,0.1118703122363856,0,0.0,0.9383182235281571,0,0.0,0.5481069058546331,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9374410506970448,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,0,0.0,0.0,11.2525333799054,0,0.0,0.9397494782190897,0,0.0,0.8045633771329838,0,0.0,1.0,0,0.0,0.793279932571411,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8806419019473388,0,0.0,1.0,0,0.0
30.0,1,1.0,0.07142857142857142,9.674277768618092,0,0.0,0.9903341960556988,0,0.0,0.21941600076193934,0,0.0,1.0,0,0.0,0.5710290152370167,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,10.866176660238729,0,0.0,0.8381175725386958,0,0.0,0.9625980642654327,0,0.0,1.0,0,0.0,0.9745535723392722,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,10.760295282903757,0,0.0,1.0,0,0.0,0.314827348724542,0,0.0,1.0,0,0.0,0.6602152007942086,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
45.0,1,0.0,0.0,11.156176442919271,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9755262773208181,0,0.0,0.9858098457855223,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
50.0,0,0.0,0.0,11.33657267066397,0,0.0,1.0,0,0.0,0.637309141599722,0,0.0,1.0,0,0.0,0.4735159311897486,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9571351914565195,0,0.0,0.9891672538195536,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
55.0,3,0.0,0.0,9.273187128844047,0,0.0,0.86737200550044,1,0.0,0.0,0,0.0,0.9121536139781247,1,0.0,0.49189604722874924,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
60.0,0,0.0,0.0,11.7857337042581,0,0.0,1.0,0,0.0,0.5670135364259905,0,0.0,1.0,0,0.0,0.6861082991477827,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9948605700005905,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
65.0,1,0.0,0.0,10.00376633651123,0,0.0,1.0,0,0.0,0.1443838864431397,0,0.0,1.0,0,0.0,0.5413792750621264,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
