Yöntem,Ortalama Bekleme Süresi (s),Toplam CO₂ (mg),Ortalama Hız (m/s),Toplam Throughput (araç),Ortalama Yoğunluk (araç/m)
Static,12.25,70212400,1.77,312,0.04107
Webster,18.69,75199795,1.59,302,0.044264
Actuated,12.12,65798506,1.8,303,0.03819
Max-Pressure,5.89,73427303,1.5,299,0.046644
SOTL-Improved,3.04,50026279,2.78,343,0.027646
SOTL-Platoon,3.81,53357212,2.49,338,0.030126
SOTL-MultiAgent,2.89,44828818,3.18,346,0.023985
Fuzzy-Logic,1.34,47795329,2.79,346,0.027269
Gap-Out,12.88,66651101,1.79,312,0.0388
